homeTitle|Free Temp Mail & Disposable Email — HaruMail|無料の使い捨てメール・捨てメアド — HaruMail|Correo temporal gratis y desechable — HaruMail|Email temporário grátis e descartável — HaruMail|Email temporaire gratuit et jetable — HaruMail|Kostenlose Wegwerf-E-Mail & Temp Mail — HaruMail
homeDescription|Create a free temporary email address without signing up. Receive and read emails in your browser for 24 hours with HaruMail’s disposable inbox.|登録不要で無料の使い捨てメールアドレスを作成。HaruMailなら同じブラウザーで24時間メールを受信・確認できます。送信は非対応です。|Crea un correo temporal gratis y sin registro. Recibe y lee mensajes en tu navegador durante 24 horas con el buzón desechable de HaruMail.|Crie um email temporário grátis, sem cadastro. Receba e leia mensagens no navegador por 24 horas com a caixa descartável do HaruMail.|Créez une adresse email temporaire gratuite sans inscription. Recevez et lisez vos messages dans votre navigateur pendant 24 heures avec HaruMail.|Erstelle ohne Anmeldung eine kostenlose Wegwerf-E-Mail-Adresse. Empfange und lies Nachrichten mit HaruMail 24 Stunden lang im selben Browser.
homeH1|Free temporary email, ready when you need it|必要なときに使える、無料の使い捨てメール|Correo temporal gratis, cuando lo necesites|Email temporário grátis para quando precisar|Votre email temporaire gratuit, au bon moment|Kostenlose Wegwerf-E-Mail, wenn du sie brauchst
homeLead|Create an address, copy it, and read incoming mail here.|アドレスを作成してコピーし、届いたメールをここで確認できます。|Crea una dirección, cópiala y lee aquí los mensajes recibidos.|Crie um endereço, copie e leia as mensagens recebidas aqui.|Créez une adresse, copiez-la et lisez les messages reçus ici.|Erstelle eine Adresse, kopiere sie und lies eingehende Nachrichten hier.
introTitle|What is a disposable email address?|使い捨てメール・捨てメアドとは？|¿Qué es un correo temporal desechable?|O que é um email temporário descartável?|Qu’est-ce qu’une adresse email jetable ?|Was ist eine Wegwerf-E-Mail-Adresse?
introBody|A temporary email address is a short-lived inbox for receiving messages without sharing your everyday address. HaruMail creates a random address for free, with no signup. Use it for a one-time message or an email test on a service you control. It receives mail; it cannot send replies or download attachments.|使い捨てメールは、普段のアドレスを知らせずに短期間メールを受信するためのものです。HaruMailは登録不要・無料でランダムなアドレスを作成します。一度だけ必要な案内の受信や、自分が管理するサービスのメールテストに使えます。受信専用で、返信や添付ファイルのダウンロードはできません。|Un correo temporal es un buzón de corta duración para recibir mensajes sin compartir tu dirección habitual. HaruMail genera una dirección aleatoria gratis y sin registro. Úsala para recibir un mensaje puntual o probar un servicio que controles. Solo recibe correo: no permite responder ni descargar adjuntos.|Um email temporário é uma caixa de curta duração para receber mensagens sem compartilhar seu endereço principal. O HaruMail gera um endereço aleatório grátis e sem cadastro. Use para mensagens pontuais ou testes em um serviço que você controla. É somente para recebimento: não envia respostas nem baixa anexos.|Un email temporaire est une boîte de courte durée qui permet de recevoir des messages sans communiquer votre adresse habituelle. HaruMail génère une adresse aléatoire gratuitement, sans inscription. Utilisez-la pour un message ponctuel ou pour tester un service que vous gérez. La boîte reçoit les messages, mais ne permet ni réponse ni téléchargement de pièces jointes.|Eine temporäre E-Mail-Adresse ist ein kurzzeitig nutzbares Postfach, mit dem du Nachrichten empfängst, ohne deine Hauptadresse anzugeben. HaruMail erstellt kostenlos und ohne Anmeldung eine zufällige Adresse. Nutze sie für einzelne Mitteilungen oder E-Mail-Tests eigener Dienste. Du kannst Nachrichten empfangen, aber weder antworten noch Anhänge herunterladen.
limitsBody|Keep the same browser and its cookies to use your inbox for 24 hours. Creating a new address or clearing cookies removes access to the previous inbox. Use a permanent email account for banking, important accounts, and password recovery. Access expiry does not mean all stored copies are immediately deleted.|同じブラウザーとCookieを維持すると、作成から24時間利用できます。新しいアドレスの作成やCookieの削除で、以前のメールボックスへのアクセスを失います。銀行や重要なアカウント、パスワード再設定には通常のメールを使ってください。利用期限が切れても、保存されたコピーがすべて直ちに削除されるわけではありません。|Conserva el mismo navegador y sus cookies para usar el buzón durante 24 horas. Crear otra dirección o borrar las cookies elimina el acceso al buzón anterior. Usa un correo permanente para banca, cuentas importantes y recuperación de contraseñas. El fin del acceso no significa que todas las copias almacenadas se borren inmediatamente.|Mantenha o mesmo navegador e seus cookies para usar a caixa por 24 horas. Criar outro endereço ou apagar cookies remove o acesso à caixa anterior. Use um email permanente para bancos, contas importantes e recuperação de senhas. O fim do acesso não significa a exclusão imediata de todas as cópias armazenadas.|Conservez le même navigateur et ses cookies pour utiliser la boîte pendant 24 heures. Créer une autre adresse ou effacer les cookies supprime l’accès à la boîte précédente. Utilisez une adresse permanente pour la banque, les comptes importants et la récupération de mots de passe. La fin de l’accès ne signifie pas la suppression immédiate de toutes les copies.|Nutze denselben Browser und behalte seine Cookies, um das Postfach 24 Stunden zu verwenden. Eine neue Adresse oder gelöschte Cookies entziehen den Zugriff auf das bisherige Postfach. Für Bankgeschäfte, wichtige Konten und Passwortwiederherstellung brauchst du eine dauerhafte Adresse. Das Zugriffsende löscht nicht sofort alle gespeicherten Kopien.
cookieNote|This inbox works for 24 hours in the same browser. New addresses and cleared cookies remove access to the previous inbox.|このメールボックスは同じブラウザーで24時間利用できます。新しいアドレスの作成やCookieの削除で、以前のメールボックスにアクセスできなくなります。|El buzón funciona 24 horas en el mismo navegador. Cambiar de dirección o borrar cookies elimina el acceso al anterior.|A caixa funciona por 24 horas no mesmo navegador. Trocar de endereço ou apagar cookies remove o acesso à anterior.|Cette boîte fonctionne 24 heures dans le même navigateur. Changer d’adresse ou effacer les cookies supprime l’accès à la précédente.|Dieses Postfach ist 24 Stunden im selben Browser verfügbar. Eine neue Adresse oder gelöschte Cookies beenden den bisherigen Zugriff.
noScript|Enable JavaScript to create an address and receive mail. You can still read our guides without it.|アドレス作成と受信にはJavaScriptを有効にしてください。ガイドはJavaScriptなしでも読めます。|Activa JavaScript para crear una dirección y recibir correo. Las guías se pueden leer sin activarlo.|Ative o JavaScript para criar um endereço e receber emails. Os guias podem ser lidos sem ele.|Activez JavaScript pour créer une adresse et recevoir des messages. Les guides restent accessibles sans JavaScript.|Aktiviere JavaScript, um eine Adresse zu erstellen und E-Mails zu empfangen. Die Anleitungen sind auch ohne JavaScript lesbar.
footer|A free temporary inbox for the moments you need one.|必要なときに使える無料の一時メール。|Un buzón temporal gratuito para cuando lo necesitas.|Uma caixa temporária grátis para quando você precisar.|Une boîte temporaire gratuite quand vous en avez besoin.|Ein kostenloses temporäres Postfach für den passenden Moment.
guidesDescription|Learn how temporary email works, troubleshoot missing messages, and choose between disposable inboxes and email aliases.|使い捨てメールの仕組み、届かないメールの確認方法、メールエイリアスとの違いを解説します。|Aprende cómo funciona el correo temporal, qué revisar si no llega un mensaje y cuándo elegir un alias.|Entenda o email temporário, resolva problemas de recebimento e saiba quando usar um alias.|Découvrez le fonctionnement des emails temporaires, les vérifications en cas de message manquant et les différences avec un alias.|Verstehe temporäre E-Mails, prüfe fehlende Nachrichten und vergleiche Wegwerf-Postfächer mit E-Mail-Aliassen.
