practicalHeading|Try it with a non-sensitive message|機密情報を含まないメールで確認する|Prueba con un mensaje sin datos sensibles|Teste com uma mensagem sem dados sensíveis|Essayez avec un message sans données sensibles|Mit einer Nachricht ohne sensible Daten ausprobieren
privacyExample|For example, receive a test notification you control, read it, then close the mailbox when the task is finished. Before closing it, keep any non-sensitive result you need. A closed mailbox cannot be recovered by typing its address. Switching the website language keeps the same browser session; moving to another device does not transfer access.|自分で管理するテスト通知を受信して読み、作業が終わったらメールボックスを閉じます。閉じる前に必要な機密性のない結果を保存してください。アドレスを入力しても閉じたメールボックスは復元できません。表示言語を変えても同じブラウザーのセッションは続きますが、別の端末にはアクセス権が移りません。|Por ejemplo, recibe una notificación de prueba que controles, léela y cierra el buzón al terminar. Antes de cerrarlo, guarda los resultados no sensibles que necesites. Escribir la dirección no recupera un buzón cerrado. Cambiar el idioma conserva la sesión del navegador; cambiar de dispositivo no transfiere el acceso.|Receba uma notificação de teste sob seu controle, leia e feche a caixa ao terminar. Antes de fechar, guarde os resultados sem dados sensíveis de que precisar. Digitar o endereço não recupera uma caixa fechada. Alterar o idioma mantém a sessão do navegador; mudar de dispositivo não transfere o acesso.|Recevez par exemple une notification de test que vous contrôlez, lisez-la, puis fermez la boîte une fois terminé. Conservez auparavant les résultats non sensibles dont vous avez besoin. Saisir l’adresse ne permet pas de récupérer une boîte fermée. Changer de langue conserve la session du navigateur ; changer d’appareil ne transfère pas l’accès.|Empfangen Sie zum Beispiel eine selbst veranlasste Testnachricht, lesen Sie sie und schließen Sie das Postfach nach Abschluss. Sichern Sie zuvor benötigte Ergebnisse ohne sensible Daten. Die Eingabe der Adresse stellt ein geschlossenes Postfach nicht wieder her. Ein Sprachwechsel erhält die Browsersitzung; ein anderes Gerät erhält dadurch keinen Zugriff.
retentionHeading|What remains after access expires|アクセス期限後に残る情報|Qué queda al caducar el acceso|O que permanece após o acesso expirar|Ce qui reste après l’expiration de l’accès|Was nach Ablauf des Zugriffs bleibt
retentionExample|The 24-hour timer is an access limit, not a deletion certificate. HaruMail receives mail through Cloudflare and stores message records in Supabase. Automatic deletion of those records after 24 hours is not configured. The sender may also retain a copy. Read the retention policy before using the service; do not send identity documents, payment details or private correspondence to this mailbox.|24時間のタイマーはアクセス期限であり、データ削除の証明ではありません。HaruMailはCloudflare経由でメールを受信し、記録をSupabaseに保存します。記録を24時間後に自動削除する処理は設定されていません。送信者にもコピーが残る場合があります。利用前に保管方針を確認し、本人確認書類、決済情報、私的なやり取りには使用しないでください。|El plazo de 24 horas limita el acceso, pero no certifica la eliminación. HaruMail recibe correo mediante Cloudflare y almacena registros en Supabase. No está configurada su eliminación automática a las 24 horas. El remitente también puede conservar una copia. Consulta la política de conservación y no recibas documentos de identidad, datos de pago ni correspondencia privada en este buzón.|O prazo de 24 horas limita o acesso, mas não comprova a exclusão dos dados. O HaruMail recebe mensagens pelo Cloudflare e armazena registros no Supabase. A exclusão automática desses registros após 24 horas não está configurada. O remetente também pode manter uma cópia. Leia a política de retenção e não receba documentos de identidade, dados de pagamento ou correspondência privada nesta caixa.|Le délai de 24 heures limite l’accès ; il ne certifie pas l’effacement. HaruMail reçoit les messages via Cloudflare et conserve leurs enregistrements dans Supabase. Leur suppression automatique après 24 heures n’est pas configurée. L’expéditeur peut aussi garder une copie. Consultez la politique de conservation et n’utilisez pas cette boîte pour des pièces d’identité, des données de paiement ou de la correspondance privée.|Die 24 Stunden begrenzen den Zugriff und bestätigen keine Löschung. HaruMail empfängt E-Mails über Cloudflare und speichert Nachrichtendatensätze in Supabase. Eine automatische Löschung nach 24 Stunden ist nicht eingerichtet. Auch der Absender kann eine Kopie behalten. Lesen Sie die Aufbewahrungsregeln und verwenden Sie dieses Postfach nicht für Ausweise, Zahlungsdaten oder private Korrespondenz.
aliasHeading|Make the choice before signing up|登録前に用途から選ぶ|Elige antes de registrarte|Escolha antes de se cadastrar|Choisissez avant de vous inscrire|Vor der Registrierung entscheiden
aliasExample|A one-time test notification can suit a temporary mailbox if the service allows it. A newsletter you intend to keep reading is better suited to an alias that forwards to a mailbox you control. Purchases, work and account recovery need an address you can keep accessing. An email alias still depends on its forwarding provider and destination account; check what happens if either is closed.|一度だけのテスト通知には、相手のサービスが許可していれば一時メールを使えます。継続して読むニュースレターには、自分の受信箱へ転送するエイリアスが向いています。購入、仕事、アカウント復旧には継続して使えるアドレスが必要です。エイリアスも転送業者と転送先アカウントに依存するため、どちらかを解約した場合の扱いを確認してください。|Un aviso de prueba puntual puede recibirse en un buzón temporal si el servicio lo permite. Para un boletín que quieras seguir leyendo, conviene un alias que reenvíe a tu correo habitual. Compras, trabajo y recuperación de cuentas requieren acceso duradero. Un alias depende del proveedor de reenvío y de la cuenta de destino: comprueba qué ocurre si cierras cualquiera de ellos.|Uma notificação única de teste pode usar uma caixa temporária, se o serviço permitir. Para uma newsletter que queira continuar lendo, prefira um alias que encaminhe para uma caixa sob seu controle. Compras, trabalho e recuperação de contas exigem acesso duradouro. O alias depende do provedor de encaminhamento e da conta de destino: confira o que acontece se encerrar qualquer um deles.|Une notification de test ponctuelle peut convenir à une boîte temporaire si le service l’autorise. Pour une newsletter que vous souhaitez continuer à lire, préférez un alias qui redirige vers votre boîte habituelle. Les achats, le travail et la récupération de comptes nécessitent un accès durable. Un alias dépend du fournisseur de redirection et du compte destinataire : vérifiez les conséquences de leur fermeture.|Für eine einmalige Testbenachrichtigung kann ein temporäres Postfach passen, sofern der Dienst es erlaubt. Für einen dauerhaft gewünschten Newsletter eignet sich eher ein Alias mit Weiterleitung an Ihr eigenes Postfach. Käufe, Arbeit und Kontowiederherstellung benötigen langfristigen Zugriff. Ein Alias hängt vom Weiterleitungsanbieter und Zielkonto ab. Prüfen Sie, was bei deren Schließung passiert.
recoveryHeading|Check the recovery path|復旧方法も確認する|Comprueba cómo recuperar la cuenta|Confira como recuperar a conta|Vérifiez les moyens de récupération|Den Wiederherstellungsweg prüfen
recoveryExample|Before creating an account, ask whether a password reset or future security alert will be sent to the same address. If yes, use a durable address from the beginning. If you already used a temporary address, change the external account’s contact email while you can still sign in and complete any required confirmation. Creating a new HaruMail address does not update that external account.|登録前に、パスワード再設定や今後のセキュリティ通知が同じアドレスに送られるか確認してください。送られるなら最初から長期利用できるアドレスを使います。すでに一時アドレスを登録した場合は、ログインできるうちに相手サービスの連絡先を変更し、必要な確認を完了してください。HaruMailで新しいアドレスを作っても相手の登録情報は更新されません。|Comprueba si el restablecimiento de contraseña y los avisos de seguridad llegarán a esa dirección. Si es así, usa un correo duradero desde el principio. Si ya usaste uno temporal, cambia el contacto de la cuenta externa mientras puedas iniciar sesión y completa la confirmación necesaria. Crear otra dirección de HaruMail no actualiza esa cuenta.|Confira se a redefinição de senha e os avisos de segurança futuros serão enviados ao mesmo endereço. Nesse caso, use um endereço duradouro desde o início. Se já usou um temporário, altere o contato da conta externa enquanto ainda consegue entrar e conclua a confirmação necessária. Criar outro endereço no HaruMail não atualiza essa conta.|Vérifiez si la réinitialisation du mot de passe et les futures alertes de sécurité utiliseront cette adresse. Si oui, choisissez une adresse durable dès le départ. Si vous avez déjà utilisé une adresse temporaire, modifiez le contact du compte externe tant que vous pouvez vous connecter et terminez la confirmation demandée. Créer une autre adresse HaruMail ne met pas ce compte à jour.|Prüfen Sie, ob Passwortzurücksetzungen und spätere Sicherheitsmeldungen an dieselbe Adresse gehen. Nutzen Sie dann von Anfang an eine dauerhafte Adresse. Haben Sie bereits eine temporäre Adresse verwendet, ändern Sie die Kontaktadresse im externen Konto, solange Sie sich anmelden können, und bestätigen Sie den Wechsel. Eine neue HaruMail-Adresse aktualisiert das externe Konto nicht.
missingHeading|Identify which step failed|どの段階で止まったか確認する|Identifica el paso que falló|Identifique a etapa que falhou|Identifiez l’étape qui a échoué|Die fehlerhafte Stufe eingrenzen
missingExample|If the other website rejects the address before sending, contact that website or use an address it accepts; HaruMail cannot change its eligibility rules. If sending was accepted, compare the exact address with the current mailbox, refresh the message list and check that the browser session has not expired. Do not create a new address while waiting: the message was sent to the previous one.|送信前に相手サイトがアドレスを拒否する場合は、そのサイトに確認するか許可されたアドレスを使います。HaruMailで相手の利用条件は変更できません。送信が受け付けられた場合は宛先と現在のアドレスを一文字ずつ確認し、受信一覧を更新してセッションの期限を確認します。待っている間に新しいアドレスを作ると、メールの宛先は以前のままです。|Si la web rechaza la dirección antes de enviar, consulta con ella o usa una dirección admitida; HaruMail no puede modificar sus condiciones. Si aceptó el envío, compara la dirección exacta con el buzón actual, actualiza la lista y comprueba que la sesión no haya caducado. No generes otra dirección mientras esperas: el mensaje se envió a la anterior.|Se o site rejeita o endereço antes do envio, consulte esse site ou use um endereço aceito; o HaruMail não altera suas regras. Se o envio foi aceito, compare o endereço exato com a caixa atual, atualize a lista e confira se a sessão não expirou. Não gere outro endereço enquanto espera: a mensagem foi enviada ao anterior.|Si le site refuse l’adresse avant l’envoi, contactez-le ou utilisez une adresse acceptée ; HaruMail ne peut pas modifier ses conditions. Si l’envoi a été accepté, comparez précisément l’adresse avec celle de la boîte actuelle, actualisez la liste et vérifiez que la session n’a pas expiré. Ne créez pas une autre adresse en attendant : le message a été envoyé à la précédente.|Lehnt die andere Website die Adresse vor dem Versand ab, wenden Sie sich an sie oder nutzen Sie eine akzeptierte Adresse. HaruMail kann ihre Bedingungen nicht ändern. Wurde der Versand angenommen, vergleichen Sie die genaue Adresse mit dem aktuellen Postfach, aktualisieren Sie die Liste und prüfen Sie den Sitzungsablauf. Erstellen Sie während des Wartens keine neue Adresse: Die Nachricht ging an die vorherige.
missingEvidenceHeading|Collect useful evidence without exposing secrets|秘密情報を伏せて状況を記録する|Recoge información sin revelar secretos|Registre informações sem expor segredos|Rassemblez les éléments sans exposer de secrets|Hilfreiche Angaben ohne Geheimnisse sammeln
